,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
12,0.150347630182902,0.00954491002618765,0.0322873592376709,0.003502157790084922,1.6321195984738952e-06,32,42,6,"{'tree__ccp_alpha': 1.6321195984738952e-06, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 42, 'tree__min_samples_split': 6}",0.9591695501730104,0.956401384083045,0.9597231833910035,0.9584313725490197,0.0014531041059306843,54,32,6,42,1.6321195984738952e-06
129,0.14789398511250815,0.0055845768976924975,0.02870066960652669,0.0007834622265487887,0,26,76,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 26, 'tree__max_leaf_nodes': 76, 'tree__min_samples_split': 7}",0.9609688581314879,0.9555709342560553,0.9582006920415225,0.958246828143022,0.0022039346551319624,56,26,7,76,0.0
169,0.15817713737487793,0.0030541480843798282,0.024944464365641277,0.002467152893974554,0.0005150971966767174,44,43,4,"{'tree__ccp_alpha': 0.0005150971966767174, 'tree__max_depth': 44, 'tree__max_leaf_nodes': 43, 'tree__min_samples_split': 4}",0.9584775086505191,0.9572318339100346,0.9586159169550174,0.9581084198385237,0.0006224100375193612,57,44,4,43,0.0005150971966767174
102,0.1539313793182373,0.0011093471903145398,0.028214057286580402,0.0016682157160891667,0,49,43,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 43, 'tree__min_samples_split': 9}",0.9584775086505191,0.9570934256055363,0.9586159169550174,0.9580622837370242,0.0006874124302538269,58,49,9,43,0.0
27,0.21725948651631674,0.007109604675755721,0.04230578740437826,0.004300049583001006,0.001092866751806594,80,77,10,"{'tree__ccp_alpha': 0.001092866751806594, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 10}",0.9586159169550174,0.9570934256055363,0.9582006920415225,0.9579700115340254,0.0006426015352795562,59,80,10,77,0.001092866751806594
20,0.15967480341593424,0.003629545735243703,0.02665885289510091,0.0013174779901988774,0.0004182329847290378,79,42,5,"{'tree__ccp_alpha': 0.0004182329847290378, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 42, 'tree__min_samples_split': 5}",0.9583391003460208,0.956955017301038,0.9582006920415225,0.957831603229527,0.0006224100375193612,60,79,5,42,0.0004182329847290378
57,0.15736762682596842,0.00526630930963259,0.031171639760335285,0.0019525159203123438,0,25,89,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 25, 'tree__max_leaf_nodes': 89, 'tree__min_samples_split': 3}",0.96,0.9543252595155709,0.9565397923875433,0.956955017301038,0.0023352342763264112,61,25,3,89,0.0
192,0.13499919573465982,0.0007965071089532176,0.02852606773376465,0.00026747044021670924,0,27,42,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 27, 'tree__max_leaf_nodes': 42, 'tree__min_samples_split': 10}",0.9580622837370242,0.9543252595155709,0.9583391003460208,0.9569088811995387,0.0018303884129068017,62,27,10,42,0.0
66,0.15794269243876138,0.003449281021931343,0.028771003087361652,0.002955300481006534,0,45,40,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 45, 'tree__max_leaf_nodes': 40, 'tree__min_samples_split': 7}",0.957923875432526,0.9557093425605536,0.9570934256055363,0.9569088811995385,0.0009134482063771079,63,45,7,40,0.0
193,0.14685328801472983,0.0028864531855749224,0.03139615058898926,0.0025129434128674417,0,47,40,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 40, 'tree__min_samples_split': 5}",0.9576470588235294,0.9558477508650519,0.9570934256055363,0.9568627450980393,0.0007524570440738157,64,47,5,40,0.0
30,0.14252281188964844,0.003403737406823221,0.03745269775390625,0.0026213983884081776,0,25,49,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 25, 'tree__max_leaf_nodes': 49, 'tree__min_samples_split': 2}",0.9577854671280277,0.9530795847750865,0.9561245674740484,0.9556632064590541,0.0019486700882992438,65,25,2,49,0.0
47,0.14602835973103842,0.0031414824429106887,0.0260922114054362,0.0030609741056421462,0,47,37,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 9}",0.9558477508650519,0.9532179930795848,0.9558477508650519,0.9549711649365628,0.0012396797086546248,66,47,9,37,0.0
40,0.15251310666402182,0.002479853721386999,0.03491886456807455,0.0025296165351614323,0,35,37,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 35, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 5}",0.9558477508650519,0.9530795847750865,0.9558477508650519,0.9549250288350635,0.0013049260091101424,67,35,5,37,0.0
170,0.14942685763041177,0.0032061720787965623,0.025855382283528645,0.0013271179432795648,0,51,37,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 51, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 6}",0.9558477508650519,0.9530795847750865,0.9558477508650519,0.9549250288350635,0.0013049260091101424,67,51,6,37,0.0
68,0.13996418317159018,0.00500096331852194,0.0298004150390625,0.002877723950085983,2.0966315679559088e-05,32,37,8,"{'tree__ccp_alpha': 2.0966315679559088e-05, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 8}",0.9557093425605536,0.9533564013840831,0.9554325259515571,0.9548327566320646,0.001050039831763877,69,32,8,37,2.0966315679559088e-05
142,0.14251629511515299,0.0012310777801908764,0.02580102284749349,0.002628478568783926,0,59,36,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 36, 'tree__min_samples_split': 10}",0.954878892733564,0.9529411764705882,0.954878892733564,0.954232987312572,0.0009134482063770891,70,59,10,36,0.0
167,0.14599045117696127,0.0012408508838695836,0.026418129603068035,0.0014425625536571987,3.263005522946805e-06,77,35,4,"{'tree__ccp_alpha': 3.263005522946805e-06, 'tree__max_depth': 77, 'tree__max_leaf_nodes': 35, 'tree__min_samples_split': 4}",0.9543252595155709,0.9523875432525951,0.9539100346020761,0.9535409457900806,0.0008330090004737248,71,77,4,35,3.263005522946805e-06
0,0.13892761866251627,0.0035625010023610827,0.028853336970011394,0.00130731004336641,0,46,33,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 33, 'tree__min_samples_split': 5}",0.9534948096885814,0.9510034602076125,0.9523875432525951,0.9522952710495963,0.0010191797939734445,72,46,5,33,0.0
141,0.1345059871673584,0.001118847071027952,0.0279385248819987,0.0020060638641531507,0,22,81,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 22, 'tree__max_leaf_nodes': 81, 'tree__min_samples_split': 4}",0.954878892733564,0.9490657439446367,0.951833910034602,0.951926182237601,0.0023741047898995916,73,22,4,81,0.0
92,0.12848591804504395,0.0013554887921829195,0.026276270548502605,0.0015889506963533656,0,22,52,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 22, 'tree__max_leaf_nodes': 52, 'tree__min_samples_split': 5}",0.9530795847750865,0.9496193771626298,0.9525259515570934,0.9517416378316031,0.0015175902379144877,74,22,5,52,0.0
