,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1,0.12104082107543945,0.003716312956737672,0.02103288968404134,0.004782678512582617,0.00023726452048112234,59,23,7,"{'tree__ccp_alpha': 0.00023726452048112234, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 23, 'tree__min_samples_split': 7}",0.94159169550173,0.9422837370242214,0.9421453287197232,0.9420069204152249,0.00029899611065320675,34
24,0.1212458610534668,0.0023398803192166496,0.02724623680114746,0.002389668621465388,1.3493710001097848e-06,34,22,6,"{'tree__ccp_alpha': 1.3493710001097848e-06, 'tree__max_depth': 34, 'tree__max_leaf_nodes': 22, 'tree__min_samples_split': 6}",0.9400692041522491,0.9402076124567474,0.9407612456747405,0.9403460207612456,0.0002989961106531896,35
50,0.1779322624206543,0.0031707210074801125,0.033818324406941734,0.0024662766313507975,0.003418011280087322,44,60,2,"{'tree__ccp_alpha': 0.003418011280087322, 'tree__max_depth': 44, 'tree__max_leaf_nodes': 60, 'tree__min_samples_split': 2}",0.935916955017301,0.9384083044982698,0.9370242214532872,0.937116493656286,0.0010191797939734445,36
39,0.10757160186767578,0.0027632684586943114,0.028070608774820965,0.009578787553237544,2.5861719440893485e-05,46,20,3,"{'tree__ccp_alpha': 2.5861719440893485e-05, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 20, 'tree__min_samples_split': 3}",0.935916955017301,0.9370242214532872,0.9370242214532872,0.9366551326412919,0.0005219704036440883,37
51,0.20392672220865884,0.012280248325359901,0.030332088470458984,0.0016203452509271539,0.004683272444460883,70,59,4,"{'tree__ccp_alpha': 0.004683272444460883, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 59, 'tree__min_samples_split': 4}",0.9342560553633218,0.9319031141868512,0.9348096885813149,0.9336562860438292,0.0012601153664357522,38
58,0.1183624267578125,0.00207565081620684,0.026630481084187824,0.00045177329749215205,0.004545990346991471,17,52,2,"{'tree__ccp_alpha': 0.004545990346991471, 'tree__max_depth': 17, 'tree__max_leaf_nodes': 52, 'tree__min_samples_split': 2}",0.9312110726643599,0.9319031141868512,0.9325951557093426,0.9319031141868512,0.0005650495369742136,39
53,0.11411460240681966,0.0018310803952719353,0.028876066207885742,0.0006535181550857958,5.238637788018591e-05,15,51,6,"{'tree__ccp_alpha': 5.238637788018591e-05, 'tree__max_depth': 15, 'tree__max_leaf_nodes': 51, 'tree__min_samples_split': 6}",0.9288581314878893,0.9327335640138408,0.9317647058823529,0.931118800461361,0.00164674217278656,40
0,0.12942814826965332,0.01878544333079255,0.02437750498453776,0.007059206557217699,2.111972855981682e-06,15,53,9,"{'tree__ccp_alpha': 2.111972855981682e-06, 'tree__max_depth': 15, 'tree__max_leaf_nodes': 53, 'tree__min_samples_split': 9}",0.9288581314878893,0.9327335640138408,0.9316262975778546,0.9310726643598617,0.0016298520629901044,41
25,0.10745724042256673,0.004369865042820181,0.03204512596130371,0.001964453322277186,1.270216657429762e-06,32,16,2,"{'tree__ccp_alpha': 1.270216657429762e-06, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 16, 'tree__min_samples_split': 2}",0.9241522491349481,0.9274740484429066,0.925121107266436,0.9255824682814303,0.0013948065935714918,42
21,0.10178486506144206,0.0008670519514930495,0.029714186986287434,0.0005374552490321594,1.4429737344500414e-05,14,17,4,"{'tree__ccp_alpha': 1.4429737344500414e-05, 'tree__max_depth': 14, 'tree__max_leaf_nodes': 17, 'tree__min_samples_split': 4}",0.9212456747404845,0.9245674740484429,0.923598615916955,0.9231372549019609,0.0013948065935714539,43
65,0.11848966280619304,0.0012917453830560133,0.02736385663350423,0.0026852641919617474,0.010429865936626313,23,24,3,"{'tree__ccp_alpha': 0.010429865936626313, 'tree__max_depth': 23, 'tree__max_leaf_nodes': 24, 'tree__min_samples_split': 3}",0.9212456747404845,0.9240138408304498,0.9157093425605536,0.9203229527104959,0.0034525096994454034,44
61,0.14194631576538086,0.0023604163807369395,0.028281370798746746,0.0009283383162108245,0.012502879033243207,61,34,2,"{'tree__ccp_alpha': 0.012502879033243207, 'tree__max_depth': 61, 'tree__max_leaf_nodes': 34, 'tree__min_samples_split': 2}",0.9100346020761245,0.9119723183391003,0.9093425605536333,0.9104498269896194,0.001113018508125905,45
48,0.12332574526468913,0.001107195145878945,0.029309670130411785,0.0008741943185688243,0.017547515668038978,59,25,9,"{'tree__ccp_alpha': 0.017547515668038978, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 25, 'tree__min_samples_split': 9}",0.9100346020761245,0.8981314878892733,0.9093425605536333,0.9058362168396771,0.005455386727300203,46
3,0.0926361083984375,0.002430916822422545,0.024894555409749348,0.003401129983797311,2.60857309582341e-06,34,12,5,"{'tree__ccp_alpha': 2.60857309582341e-06, 'tree__max_depth': 34, 'tree__max_leaf_nodes': 12, 'tree__min_samples_split': 5}",0.9007612456747405,0.8981314878892733,0.8968858131487889,0.8985928489042676,0.0016154225051913883,47
93,0.10140506426493327,0.0049393063016514175,0.0264894962310791,0.003062538542133975,0.02193150970647353,9,77,7,"{'tree__ccp_alpha': 0.02193150970647353, 'tree__max_depth': 9, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 7}",0.8721107266435986,0.8708650519031141,0.8705882352941177,0.8711880046136101,0.0006621776283463383,48
73,0.09171509742736816,0.0025994352102914307,0.028696298599243164,0.0011525422089059831,0.021807650681527124,100,11,5,"{'tree__ccp_alpha': 0.021807650681527124, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 11, 'tree__min_samples_split': 5}",0.8721107266435986,0.8708650519031141,0.8705882352941177,0.8711880046136101,0.0006621776283463383,48
57,0.08837461471557617,0.0018437995339692054,0.02880072593688965,0.002235601430960536,0.00010294284574267166,8,85,10,"{'tree__ccp_alpha': 0.00010294284574267166, 'tree__max_depth': 8, 'tree__max_leaf_nodes': 85, 'tree__min_samples_split': 10}",0.8560553633217993,0.8585467128027682,0.8579930795847751,0.8575317185697808,0.0010681279725757984,50
43,0.1573642094930013,6.992708494650184e-05,0.03243374824523926,0.0015103468417988148,0.029140445957187844,81,43,8,"{'tree__ccp_alpha': 0.029140445957187844, 'tree__max_depth': 81, 'tree__max_leaf_nodes': 43, 'tree__min_samples_split': 8}",0.8382006920415225,0.8390311418685121,0.8376470588235294,0.8382929642445213,0.0005688040602508959,51
17,0.0812087853749593,0.0023535647987604877,0.029269059499104817,0.0019201475541427222,0.00020228200767055202,84,7,3,"{'tree__ccp_alpha': 0.00020228200767055202, 'tree__max_depth': 84, 'tree__max_leaf_nodes': 7, 'tree__min_samples_split': 3}",0.8155017301038062,0.8156401384083045,0.8134256055363321,0.8148558246828143,0.0010128949665559682,52
18,0.07697852452596028,0.0007280875409020256,0.02840002377827962,0.0004475467223641968,0.0013248403282072507,39,6,8,"{'tree__ccp_alpha': 0.0013248403282072507, 'tree__max_depth': 39, 'tree__max_leaf_nodes': 6, 'tree__min_samples_split': 8}",0.7950173010380622,0.7946020761245675,0.7903114186851211,0.7933102652825835,0.0021272695517228863,53
94,0.0771316687266032,0.003199885273068483,0.030231396357218426,0.0010258545067024383,0.007313126128970038,48,6,8,"{'tree__ccp_alpha': 0.007313126128970038, 'tree__max_depth': 48, 'tree__max_leaf_nodes': 6, 'tree__min_samples_split': 8}",0.7950173010380622,0.7946020761245675,0.7903114186851211,0.7933102652825835,0.0021272695517228863,53
85,0.24136082331339517,0.016609117023880023,0.030957142512003582,0.0032107881556113697,0.04205290306682697,67,97,8,"{'tree__ccp_alpha': 0.04205290306682697, 'tree__max_depth': 67, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 8}",0.7950173010380622,0.7946020761245675,0.7903114186851211,0.7933102652825835,0.0021272695517228863,53
66,0.08129143714904785,0.0037219830977181607,0.0277554194132487,0.00030891555481493726,0.03194569213360734,46,7,2,"{'tree__ccp_alpha': 0.03194569213360734, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 7, 'tree__min_samples_split': 2}",0.7950173010380622,0.7946020761245675,0.7903114186851211,0.7933102652825835,0.0021272695517228863,53
60,0.19268266359965006,0.002102631840087932,0.02816041310628255,0.0013141496308435396,0.03723617156703582,96,68,6,"{'tree__ccp_alpha': 0.03723617156703582, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 68, 'tree__min_samples_split': 6}",0.7950173010380622,0.7946020761245675,0.7903114186851211,0.7933102652825835,0.0021272695517228863,53
83,0.1965925693511963,0.004971747452949072,0.03630948066711426,0.006626439682627095,0.07062599534143542,58,66,7,"{'tree__ccp_alpha': 0.07062599534143542, 'tree__max_depth': 58, 'tree__max_leaf_nodes': 66, 'tree__min_samples_split': 7}",0.7177854671280277,0.7190311418685121,0.7176470588235294,0.7181545559400231,0.0006224100375193612,58
71,0.16756391525268555,0.0013140896877888019,0.033656040827433266,0.0005269572120468372,0.05351020066093435,53,32,7,"{'tree__ccp_alpha': 0.05351020066093435, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 32, 'tree__min_samples_split': 7}",0.7177854671280277,0.7190311418685121,0.7176470588235294,0.7181545559400231,0.0006224100375193612,58
